Data;Base Monetária restrita - M0 - reservas bancárias - média - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_RBM12;
1980.01;6,54545454545455E-08;
1980.02;5,81818181818182E-08;
1980.03;5,63636363636364E-08;
1980.04;6,36363636363636E-08;
1980.05;6,83636363636364E-08;
1980.06;7,45454545454545E-08;
1980.07;7,81818181818182E-08;
1980.08;8E-08;
1980.09;8,25454545454545E-08;
1980.10;8,58181818181818E-08;
1980.11;8,98181818181818E-08;
1980.12;9,92727272727273E-08;
1981.01;1,07272727272727E-07;
1981.02;1,06181818181818E-07;
1981.03;1,02181818181818E-07;
1981.04;1,01818181818182E-07;
1981.05;1,08727272727273E-07;
1981.06;1,16727272727273E-07;
1981.07;1,22181818181818E-07;
1981.08;1,30181818181818E-07;
1981.09;1,31272727272727E-07;
1981.10;1,40363636363636E-07;
1981.11;1,48363636363636E-07;
1981.12;1,70909090909091E-07;
1982.01;1,94909090909091E-07;
1982.02;2,17454545454545E-07;
1982.03;1,99636363636364E-07;
1982.04;2,02181818181818E-07;
1982.05;2,06909090909091E-07;
1982.06;2,24E-07;
1982.07;2,38545454545455E-07;
1982.08;2,54181818181818E-07;
1982.09;2,59636363636364E-07;
1982.10;2,76727272727273E-07;
1982.11;3,25090909090909E-07;
1982.12;3,47636363636364E-07;
1983.01;4,16727272727273E-07;
1983.02;4,09090909090909E-07;
1983.03;4,14909090909091E-07;
1983.04;4,07272727272727E-07;
1983.05;4,27636363636364E-07;
1983.06;4,27272727272727E-07;
1983.07;4,74909090909091E-07;
1983.08;5,32727272727273E-07;
1983.09;5,36E-07;
1983.10;5,56E-07;
1983.11;5,88727272727273E-07;
1983.12;7,00727272727273E-07;
1984.01;8,33090909090909E-07;
1984.02;8,12727272727273E-07;
1984.03;8,33818181818182E-07;
1984.04;8,68363636363636E-07;
1984.05;1,02509090909091E-06;
1984.06;1,08472727272727E-06;
1984.07;1,22436363636364E-06;
1984.08;1,30618181818182E-06;
1984.09;1,38145454545455E-06;
1984.10;1,62290909090909E-06;
1984.11;1,81781818181818E-06;
1984.12;2,02036363636364E-06;
1985.01;2,63818181818182E-06;
1985.02;2,59454545454545E-06;
1985.03;2,61563636363636E-06;
1985.04;2,87127272727273E-06;
1985.05;3,15309090909091E-06;
1985.06;3,4E-06;
1985.07;3,89963636363636E-06;
1985.08;3,98290909090909E-06;
1985.09;4,50254545454545E-06;
1985.10;4,98945454545454E-06;
1985.11;5,54E-06;
1985.12;6,33490909090909E-06;
1986.01;8,62872727272727E-06;
1986.02;8,07381818181818E-06;
1986.03;9,33272727272727E-06;
1986.04;1,49330909090909E-05;
1986.05;1,9828E-05;
1986.06;2,32701818181818E-05;
1986.07;2,60607272727273E-05;
1986.08;2,90778181818182E-05;
1986.09;3,18981818181818E-05;
1986.10;3,20625454545455E-05;
1986.11;3,21552727272727E-05;
1986.12;2,9892E-05;
1987.01;3,27672727272727E-05;
1987.02;2,8704E-05;
1987.03;3,02727272727273E-05;
1987.04;3,08367272727273E-05;
1987.05;3,02243636363636E-05;
1987.06;2,46530909090909E-05;
1987.07;3,086E-05;
1987.08;4,28701818181818E-05;
1987.09;5,34134545454546E-05;
1987.10;6,11374545454545E-05;
1987.11;7,12036363636364E-05;
1987.12;7,92810909090909E-05;
1988.01;9,38181818181818E-05;
1988.02;8,72727272727273E-05;
1988.03;9,2E-05;
1988.04;0,000108727272727273;
1988.05;0,000128727272727273;
1988.06;0,000150545454545455;
1988.07;0,000168363636363636;
1988.08;0,000190545454545455;
1988.09;0,000219272727272727;
1988.10;0,000278909090909091;
1988.11;0,000331272727272727;
1988.12;0,000414909090909091;
1989.01;0,000620727272727273;
1989.02;0,000781818181818182;
1989.03;0,000918545454545455;
1989.04;0,00112145454545455;
1989.05;0,00136581818181818;
1989.06;0,00165781818181818;
1989.07;0,00173563636363636;
1989.08;0,00202218181818182;
1989.09;0,002368;
1989.10;0,00303527272727273;
1989.11;0,00394290909090909;
1989.12;0,00589127272727273;
1990.01;0,0106749090909091;
1990.02;0,0142596363636364;
1990.03;0,0222385454545455;
1990.04;0,0533014545454545;
1990.05;0,0751367272727273;
1990.06;0,0949952727272727;
1990.07;0,104236727272727;
1990.08;0,104410909090909;
1990.09;0,133253090909091;
1990.10;0,149924;
1990.11;0,142395636363636;
1990.12;0,170677454545455;
1991.01;0,193160363636364;
1991.02;0,209240363636364;
1991.03;0,269538181818182;
1991.04;0,303668727272727;
1991.05;0,309965454545455;
1991.06;0,332467272727273;
1991.07;0,383762181818182;
1991.08;0,390734909090909;
1991.09;0,435985454545455;
1991.10;0,488979272727273;
1991.11;0,516032363636364;
1991.12;0,65714;
1992.01;0,871953239636364;
1992.02;0,903576509090909;
1992.03;1,11338449090909;
1992.04;1,29019741636364;
1992.05;1,62137932727273;
1992.06;1,87975374909091;
1992.07;2,34441939927273;
1992.08;2,70178703018182;
1992.09;3,21469359309091;
1992.10;4,039824052;
1992.11;4,83323754545455;
1992.12;6,88058499163636;
1993.01;8,61020078181818;
1993.02;8,90843789890909;
1993.03;11,1554731858182;
1993.04;12,418870048;
1993.05;16,8567219047273;
1993.06;20,7709085541818;
1993.07;28,6942262312727;
1993.08;34,2378738181818;
1993.09;43,9445345454545;
1993.10;59,3869243636364;
1993.11;77,3102887272727;
1993.12;127,241584727273;
1994.01;152,414690909091;
1994.02;207,909670181818;
1994.03;253,710370181818;
1994.04;349,345784;
1994.05;549,715556363636;
1994.06;856,321232;
1994.07;2411,753;
1994.08;3963,232;
1994.09;5294,374;
1994.10;6330,175;
1994.11;7094,499;
1994.12;8094,973;
1995.01;8164,539;
1995.02;7325,713;
1995.03;7565,33;
1995.04;6458,955;
1995.05;6528,484;
1995.06;6219,752;
1995.07;6484,204;
1995.08;5983,996;
1995.09;5600,527;
1995.10;6557,488;
1995.11;6596,28;
1995.12;7590,94;
1996.01;8275,68;
1996.02;6668,027;
1996.03;6591,831;
1996.04;5966,015;
1996.05;6010,848;
1996.06;5361,156;
1996.07;5280,509;
1996.08;4228,61;
1996.09;4183,275;
1996.10;4337,454;
1996.11;3207,254;
1996.12;3325,99;
1997.01;4354,311;
1997.02;6596,646;
1997.03;8859,477;
1997.04;9192,859;
1997.05;8910,669;
1997.06;9093,635;
1997.07;9926,473;
1997.08;9130,476;
1997.09;10190,233;
1997.10;10535,324;
1997.11;9648,403;
1997.12;12310,773;
1998.01;14835,743;
1998.02;13949,7;
1998.03;13605,916;
1998.04;13523,163;
1998.05;14975,349;
1998.06;15240,758;
1998.07;15233,502;
1998.08;15581,851;
1998.09;15753,836;
1998.10;15357,125;
1998.11;13998,463;
1998.12;15735,378;
1999.01;16890,224;
1999.02;16827,188;
1999.03;16390,792;
1999.04;16113,309;
1999.05;15430,051;
1999.06;16042,856;
1999.07;17882,973;
1999.08;18035,411;
1999.09;17955,892;
1999.10;15596,225;
1999.11;16153,58;
1999.12;18100,56;
2000.01;19350,049;
2000.02;17912,611;
2000.03;17266,05;
2000.04;14973,613;
2000.05;14948,241;
2000.06;14033,602;
2000.07;12823,737;
2000.08;13564,437;
2000.09;13256,045;
2000.10;14056,655;
2000.11;14411,25;
2000.12;15488,927;
2001.01;16608,594;
2001.02;15752,661;
2001.03;15659,66;
2001.04;15839,778;
2001.05;15887,997;
2001.06;15652,412;
2001.07;16133,017;
2001.08;16168,62;
2001.09;15860,479;
2001.10;15832,014;
2001.11;15623,819;
2001.12;16975,624;
2002.01;17665,422;
2002.02;16799,933;
2002.03;16444,528;
2002.04;16197,577;
2002.05;16719,583;
2002.06;16861,7;
2002.07;18746,665;
2002.08;19526,927;
2002.09;20337,176;
2002.10;20940,947;
2002.11;20595,777;
2002.12;22110,639;
2003.01;22574,879;
2003.02;20979,603;
2003.03;27964,089;
2003.04;26852,152;
2003.05;26726,819;
2003.06;25925,673;
2003.07;26235,293;
2003.08;23993,755;
2003.09;18039,596;
2003.10;18315,174;
2003.11;19234,633;
2003.12;20708,766;
2004.01;22583,319;
2004.02;21699,62;
2004.03;21274,082;
2004.04;21727,032;
2004.05;22031,59;
2004.06;22950,108;
2004.07;22889,888;
2004.08;23000,122;
2004.09;22961,415;
2004.10;24295,091;
2004.11;24902,051;
2004.12;26146,366;
2005.01;27313,61;
2005.02;26407,586;
2005.03;26327,22;
2005.04;25916,509;
2005.05;26072,324;
2005.06;25267,268;
2005.07;26312,926;
2005.08;25794,009;
2005.09;25637,735;
2005.10;25590,311;
2005.11;26596,604;
2005.12;29163,073;
2006.01;30716,283;
2006.02;28526,908;
2006.03;28485,857;
2006.04;28383,816;
2006.05;28241,208;
2006.06;29831,137;
2006.07;29514,599;
2006.08;28916,47;
2006.09;29592,864;
2006.10;29863,27;
2006.11;31896,483;
2006.12;35423,064;
2007.01;35829,364;
2007.02;33465,489;
2007.03;33345,725;
2007.04;34781,999;
2007.05;35234,725;
2007.06;35633,99;
2007.07;37239,627;
2007.08;37721,709;
2007.09;39264,068;
2007.10;39651,044;
2007.11;41252,305;
2007.12;45022,435;
2008.01;46676,212;
2008.02;41355,202;
2008.03;40446,672;
2008.04;41020,125;
2008.05;41559,587;
2008.06;38796,543;
2008.07;40447,335;
2008.08;38542,9;
2008.09;39322,639;
2008.10;40134,01;
2008.11;30065,899;
2008.12;33599,522;
2009.01;34838,813;
2009.02;31542,068;
2009.03;31069,595;
2009.04;30799,131;
2009.05;32359,752;
2009.06;32477,392;
2009.07;33499,648;
2009.08;32483,326;
2009.09;34876,727;
2009.10;34020,161;
2009.11;34968,057;
2009.12;39238,499;
2010.01;41071,532;
2010.02;38833,198;
2010.03;39150,106;
2010.04;40867,172;
2010.05;40133,346;
2010.06;40776,035;
2010.07;43086,525;
2010.08;43307,71;
2010.09;43027,732;
2010.10;44837,766;
2010.11;44740,567;
2010.12;49334,581;
2011.01;49632,906;
2011.02;46292,779;
2011.03;45235,376;
2011.04;44410,87;
2011.05;43967,402;
2011.06;44716,284;
2011.07;43530,189;
2011.08;42461,609;
2011.09;42391,563;
2011.10;41739,681;
2011.11;42459,956;
2011.12;45816,886;
2012.01;46614,095;
2012.02;42929,658;
2012.03;42503,128;
2012.04;42062,878;
2012.05;42075,992;
2012.06;42451,725;
2012.07;44008,986;
2012.08;42803,052;
2012.09;44709,108;
2012.10;44133,873;
2012.11;44744,094;
2012.12;50450,025;
2013.01;54143,617;
2013.02;45882,69;
2013.03;39547,165;
2013.04;41583,851;
2013.05;42597,959;
2013.06;37292,816;
2013.07;42249,207;
2013.08;42445,166;
2013.09;38849,786;
2013.10;40347,112;
2013.11;41972,606;
2013.12;41911,116;
2014.01;45665,808;
2014.02;42528,418;
2014.03;39415,225;
2014.04;40908,103;
2014.05;41352,808;
2014.06;38078,155;
2014.07;40663,081;
2014.08;39660,838;
2014.09;40517,296;
2014.10;40629,796;
2014.11;40299,281;
2014.12;43523,631;
2015.01;46528,57;
2015.02;39922,996;
2015.03;41247,588;
2015.04;39499,518;
2015.05;35834,304;
2015.06;36383,734;
2015.07;37058,158;
2015.08;33267,878;
2015.09;34552,7;
2015.10;33598,743;
2015.11;34324,469;
2015.12;34871,906;
2016.01;37914,818;
2016.02;35100,328;
2016.03;35131,361;
2016.04;32707,29;
2016.05;34480,74;
2016.06;33609,141;
2016.07;33538,435;
2016.08;33696,853;
2016.09;33618,943;
2016.10;33564,297;
2016.11;34494,238;
2016.12;37607,423;
2017.01;40776,317;
2017.02;35982,188;
2017.03;35521,165;
2017.04;34424,688;
2017.05;35090,537;
2017.06;36623,23;
2017.07;35444,874;
2017.08;35558,85;
2017.09;35382,667;
2017.10;35232,272;
2017.11;36211,224;
2017.12;40378,633;
2018.01;42801,747;
2018.02;38610,633;
2018.03;39845,672;
2018.04;38382,322;
2018.05;39894,536;
2018.06;39200,588;
2018.07;40253,547;
2018.08;40142,803;
2018.09;39292,4;
2018.10;41565,365;
2018.11;39791,365;
2018.12;41148,112;
2019.01;41415,183;
2019.02;38667,453;
2019.03;38792,42;
2019.04;38040,618;
2019.05;38183,362;
2019.06;37756,858;
2019.07;37446,36;
2019.08;38900,329;
2019.09;37444,855;
2019.10;38146,62;
2019.11;39056,638;
2019.12;41984,67;
2020.01;45041,151;
2020.02;41940,154;
2020.03;42207,139;
2020.04;41934,116;
2020.05;46398,043;
2020.06;46896,296;
2020.07;50616,444;
2020.08;50815,671;
2020.09;53600,632;
2020.10;55449,649;
2020.11;57278,769;
2020.12;61876,432;
2021.01;65452,926;
2021.02;60827,567;
2021.03;60153,464;
2021.04;60271,713;
2021.05;61228,406;
2021.06;63374,752;
2021.07;66102,481;
2021.08;69595,736;
2021.09;70299,091;
2021.10;69295,502;
2021.11;68555,222;
2021.12;70827,427;
2022.01;74603,544;
2022.02;66314,197;
2022.03;67262,094;
2022.04;66779,791;
2022.05;67112,485;
2022.06;66123,445;
2022.07;67450,665;
2022.08;67283,041;
2022.09;68854,441;
2022.10;69617,039;
2022.11;67901,66;
2022.12;70328,671;
2023.01;73175,756;
2023.02;68224,484;
2023.03;68981,196;
2023.04;66921,793;
2023.05;68916,458;
2023.06;66803,138;
2023.07;65605,776;
2023.08;67299,837;
2023.09;69191,039;
2023.10;70950,992;
2023.11;81784,499;
2023.12;81970,976;
2024.01;83905,118;
2024.02;82675,477;
2024.03;81876,677;
2024.04;81512,601;
2024.05;84288,567;
2024.06;84753,463;
2024.07;85439,838;
2024.08;84527,448;
2024.09;84657,025;
2024.10;90449,352;
2024.11;89881,911;
2024.12;94024,588;
2025.01;99566,351;
